  0.91569604E+03,  0.13580000E+04
  0.91575610E+03,  0.10374546E+04
  0.91581641E+03,  0.82372729E+03
  0.91587646E+03,  0.61545459E+03
  0.91593658E+03,  0.51372729E+03
  0.91599670E+03,  0.41045450E+03
  0.91605688E+03,  0.42818179E+03
  0.91611707E+03,  0.71072729E+03
  0.91617719E+03,  0.70045459E+03
  0.91623730E+03,  0.33254547E+03
  0.91629749E+03,  0.32190909E+03
  0.91635754E+03,  0.37463638E+03
  0.91641779E+03,  0.58690906E+03
  0.91647803E+03,  0.85672729E+03
  0.91653821E+03,  0.92409094E+03
  0.91659833E+03,  0.74790906E+03
  0.91665839E+03,  0.46618179E+03
  0.91671863E+03,  0.38454547E+03
  0.91677881E+03,  0.42336362E+03
  0.91683899E+03,  0.50927277E+03
  0.91689905E+03,  0.97872729E+03
  0.91695923E+03,  0.16810908E+04
  0.91701947E+03,  0.18358184E+04
  0.91707971E+03,  0.14129092E+04
  0.91713995E+03,  0.91445459E+03
  0.91720001E+03,  0.67427271E+03
  0.91726013E+03,  0.56418176E+03
  0.91732043E+03,  0.46572726E+03
  0.91738055E+03,  0.49781818E+03
  0.91744080E+03,  0.71272729E+03
  0.91750098E+03,  0.82745459E+03
  0.91756110E+03,  0.78136359E+03
  0.91762134E+03,  0.76854547E+03
  0.91768152E+03,  0.64027271E+03
  0.91774170E+03,  0.48181818E+03
  0.91780200E+03,  0.40427277E+03
  0.91786212E+03,  0.36227277E+03
  0.91792236E+03,  0.34663638E+03
  0.91798260E+03,  0.27445450E+03
  0.91804297E+03,  0.28754547E+03
  0.91810309E+03,  0.36200000E+03
  0.91816321E+03,  0.37963638E+03
  0.91822351E+03,  0.35290909E+03
  0.91828363E+03,  0.31445450E+03
  0.91834399E+03,  0.39836362E+03
  0.91840417E+03,  0.81654547E+03
  0.91846436E+03,  0.11410908E+04
  0.91852460E+03,  0.98700000E+03
  0.91858472E+03,  0.73209094E+03
  0.91864514E+03,  0.51718176E+03
  0.91870532E+03,  0.44481818E+03
  0.91876556E+03,  0.39236362E+03
  0.91882593E+03,  0.38518179E+03
  0.91888605E+03,  0.33872726E+03
  0.91894629E+03,  0.33600000E+03
  0.91900647E+03,  0.34545450E+03
  0.91906665E+03,  0.34609088E+03
  0.91912701E+03,  0.31563638E+03
  0.91918726E+03,  0.26863638E+03
  0.91924750E+03,  0.30118179E+03
  0.91930774E+03,  0.34163638E+03
  0.91936798E+03,  0.41181818E+03
  0.91942834E+03,  0.60000000E+03
  0.91948853E+03,  0.67900000E+03
  0.91954889E+03,  0.56409094E+03
  0.91960913E+03,  0.45090909E+03
  0.91966931E+03,  0.41236362E+03
  0.91972961E+03,  0.36327277E+03
  0.91978992E+03,  0.27709088E+03
  0.91985022E+03,  0.28390909E+03
